SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
CoSellingOfficeMLSID,,"Co Selling Office MLSID",R973,"Co Selling Office MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoSellingOfficeName,,"Co Selling Office Name",R974,"Co Selling Office Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoSellingOfficePhone,,"Co Selling Office Phone",R975,"Co Selling Office Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CountyOrParish,,"County Or Parish",R976,"County Or Parish",75,Character,,1,Lookup,Left,0,,CountyOrParish,1,,,,,,0,,0,,,,,
CreatedDate,,"Created Date",R977,"Created Date",10,Date,,1,,Left,0,,,,,,,,,0,,0,,,,,
CurrentPrice,,"Current Price",R979,"Current Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
DateRented,,"Date Rented",R980,"Date Rented",10,Date,,1,,Left,0,,,,,,,,,0,,0,,,,,
DenFlexYN,,"Den Flex YN",R4368,"Den Flex YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
Development,,Development,R2334,Development,75,Character,,1,Lookup,Left,0,,Development,1,,,,,,0,,0,,,,,
DevelopmentName,,"Development Name",R982,"Development Name",75,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
DOM,,DOM,R989,DOM,11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
Elevator,,Elevator,R991,Elevator,75,Character,,1,Lookup,Left,0,,Elevator,1,,,,,,0,,0,,,,,
ExteriorFeatures,,"Exterior Features",R995,"Exterior Features",1000,Character,,1,LookupMulti,Left,0,,ExteriorFeatures,100,,,,,,0,,0,,,,,
ExteriorFinish,,"Exterior Finish",R2293,"Exterior Finish",1000,Character,,1,LookupMulti,Left,0,,ExteriorFinish,100,,,,,,0,,0,,,,,
FloodInsYN,,"Flood Ins YN",R4330,"Flood Ins YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
Flooring,,Flooring,R997,Flooring,1000,Character,,1,LookupMulti,Left,0,,Flooring,100,,,,,,0,,0,,,,,
ForeclosedREOYN,,"Foreclosed REOYN",R999,"Foreclosed REOYN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
FullAddress,,"Full Address",R1001,"Full Address",100,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
GasDescription,,"Gas Description",R4173,"Gas Description",1000,Character,,1,LookupMulti,Left,0,,GasDescription,100,,,,,,0,,0,,,,,
GolfType,,"Golf Type",R2680,"Golf Type",1000,Character,,1,LookupMulti,Left,0,,GolfType,100,,,,,,0,,0,,,,,
GrossRentalIncome,,"Gross Rental Income",R1006,"Gross Rental Income",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
GulfAccessType,,"Gulf Access Type",R1007,"Gulf Access Type",1000,Character,,1,LookupMulti,Left,0,,GulfAccessType,100,,,,,,0,,0,,,,,
GulfAccessYN,,"Gulf Access YN",R1008,"Gulf Access YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
Heat,,Heat,R1009,Heat,1000,Character,,1,LookupMulti,Left,0,,Heat,100,,,,,,0,,0,,,,,
InformationAvailable,,"Information Available",R1016,"Information Available",1000,Character,,1,LookupMulti,Left,0,,InformationAvailable,100,,,,,,0,,0,,,,,
