SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
StreetDirSuffix,,"Street Dir Suffix",R1699,"Street Dir Suffix",75,Character,,1,Lookup,Left,0,,CardinalPoints,1,,,,,,0,,0,,,,,
StreetName,,"Street Name",R1700,"Street Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
StreetNumber,,"Street Number",R1701,"Street Number",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
StreetNumberModifier,,"Street Number Modifier",R1702,"Street Number Modifier",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
StreetSuffix,,"Street Suffix",R1703,"Street Suffix",75,Character,,1,Lookup,Left,0,,StreetSuffix,1,,,,,,0,,0,,,,,
SubCondoName,,"Sub Condo Name",R1705,"Sub Condo Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SubdivisionInfo,,"Subdivision Info",R1706,"Subdivision Info",1000,Character,,1,LookupMulti,Left,0,,SubdivisionInfo,100,,,,,,0,,0,,,,,
SubdivisionNumber,,"Subdivision Number",R1707,"Subdivision Number",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Table,,Table,R1710,Table,75,Character,,1,Lookup,Left,0,,Table,1,,,,,,0,,0,,,,,
TaxDesc,,"Tax Desc",R1712,"Tax Desc",1000,Character,,1,LookupMulti,Left,0,,TaxDesc,100,,,,,,0,,0,,,,,
TaxDistrictType,,"Tax District Type",R1713,"Tax District Type",75,Character,,1,Lookup,Left,0,,TaxDistrictType,1,,,,,,0,,0,,,,,
Taxes,,Taxes,R1714,Taxes,17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
TaxYear,,"Tax Year",R1715,"Tax Year",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
TotalBuildings,,"Total Buildings",R2352,"Total Buildings",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
Township,,Township,R1720,Township,25,Character,,1,,Right,0,,,,,,,,,0,,0,,,,,
TransactionType,,"Transaction Type",R4326,"Transaction Type",75,Character,,1,Lookup,Left,0,,TransactionType,1,,,,,,0,,0,,,,,
TransferFee,,"Transfer Fee",R1722,"Transfer Fee",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
Trees,,Trees,R1723,Trees,1000,Character,,1,LookupMulti,Left,0,,Trees,100,,,,,,0,,0,,,,,
UnitNumber,,"Unit Number",R1724,"Unit Number",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Usage,,Usage,R1725,Usage,1000,Character,,1,LookupMulti,Left,0,,Usage,100,,,,,,0,,0,,,,,
UtilitiesAvailable,,"Utilities Available",R1726,"Utilities Available",1000,Character,,1,LookupMulti,Left,0,,UtilitiesAvailable,100,,,,,,0,,0,,,,,
View,,View,R1728,View,1000,Character,,1,LookupMulti,Left,0,,View,100,,,,,,0,,0,,,,,
VirtualTourURL,,"Virtual Tour URL",R1729,"Virtual Tour URL",255,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
VirtualTourURL2,,"Virtual Tour URL 2",R2674,"Virtual Tour URL 2",255,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Water,,Water,R1731,Water,1000,Character,,1,LookupMulti,Left,0,,Water,100,,,,,,0,,0,,,,,
WaterfrontDesc,,"Waterfront Desc",R1732,"Waterfront Desc",1000,Character,,1,LookupMulti,Left,0,,WaterfrontDesc,100,,,,,,0,,0,,,,,
WaterfrontYN,,"Waterfront YN",R1733,"Waterfront YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
ZoningCode,,"Zoning Code",R1735,"Zoning Code",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
