SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
CoListAgentMLSID,,"Co List Agent MLSID",R2064,"Co List Agent MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListOffice_MUI,,"Co List Office MUI",R2065,"Co List Office MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
CoListOfficeMLSID,,"Co List Office MLSID",R2066,"Co List Office MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListOfficeName,,"Co List Office Name",R2067,"Co List Office Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListOfficePhone,,"Co List Office Phone",R2068,"Co List Office Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CommCharterYN,,"Comm Charter YN",R4165,"Comm Charter YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
CommunityFee,,"Community Fee",R4152,"Community Fee",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
CommunityFeeFrequency,,"Community Fee Frequency",R4122,"Community Fee Frequency",75,Character,,1,Lookup,Left,0,,CommunityFeeFrequency,1,,,,,,0,,0,,,,,
CountyOrParish,,"County Or Parish",R2076,"County Or Parish",75,Character,,1,Lookup,Left,0,,CountyOrParish,1,,,,,,0,,0,,,,,
CreatedDate,,"Created Date",R2077,"Created Date",10,Date,,1,,Left,0,,,,,,,,,0,,0,,,,,
CurrentPrice,,"Current Price",R2078,"Current Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
Development,,Development,R2338,Development,75,Character,,1,Lookup,Left,0,,Development,1,,,,,,0,,0,,,,,
DockAmenities,,"Dock Amenities",R2473,"Dock Amenities",1000,Character,,1,LookupMulti,Left,0,,"Dock Amenities",100,,,,,,0,,0,,,,,
DockConstruction,,"Dock Construction",R2080,"Dock Construction",75,Character,,1,Lookup,Left,0,,DockConstruction,1,,,,,,0,,0,,,,,
DockOwnership,,"Dock Ownership",R2081,"Dock Ownership",75,Character,,1,Lookup,Left,0,,DockOwnersihp,1,,,,,,0,,0,,,,,
DOM,,DOM,R2087,DOM,11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
DrySlipHeight,,"Dry Slip Height",R2088,"Dry Slip Height",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
DrySlipLength,,"Dry Slip Length",R2089,"Dry Slip Length",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
DrySlipWidth,,"Dry Slip Width",R2090,"Dry Slip Width",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
FLLandLeaseTransferTax,,"FL Land Lease Transfer Tax",R2093,"FL Land Lease Transfer T",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ForeclosedREOYN,,"Foreclosed REOYN",R2094,"Foreclosed REOYN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
FullAddress,,"Full Address",R2095,"Full Address",100,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
GulfAccessType,,"Gulf Access Type",R2096,"Gulf Access Type",1000,Character,,1,LookupMulti,Left,0,,GulfAccessType,100,,,,,,0,,0,,,,,
GulfAccessYN,,"Gulf Access YN",R2330,"Gulf Access YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
IDXOptInYN,,"IDX Opt In YN",R2097,"IDX Opt In YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
InternetSites,,"Internet Sites",R2098,"Internet Sites",1000,Character,,1,LookupMulti,Left,0,,InternetSites,100,,,,,,0,,0,,,,,
LandLeaseYN,,"Land Lease YN",R2101,"Land Lease YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
LastChangeTimestamp,,"Last Change Timestamp",R2102,"Last Change Timestamp",23,DateTime,,1,,Left,0,,,,,,,,,0,,0,,,,,
LastChangeType,,"Last Change Type",R2103,"Last Change Type",75,Character,,1,Lookup,Left,0,,LastChangeType,1,,,,,,0,,0,,,,,
LeaseDescription,,"Lease Description",R4156,"Lease Description",75,Character,,1,Lookup,Left,0,,"LeaseDescription ",1,,,,,,0,,0,,,,,
LeaseExpirationDate,,"Lease Expiration Date",R4142,"Lease Expiration Date",23,DateTime,,1,,Left,0,,,,,,,,,0,,0,,,,,
LegalDesc,,"Legal Desc",R2107,"Legal Desc",255,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
LegalUnit,,"Legal Unit",R2303,"Legal Unit",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
LiftCapacity,,"Lift Capacity",R2304,"Lift Capacity",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
ListAgent_MUI,,"List Agent MUI",R2109,"List Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
ListAgentDirectWorkPhone,,"List Agent Direct Work Phone",R2110,"List Agent Direct Work P",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
