SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
MLSAreaMajor,,"MLS Area Major",R860,"MLS Area Major",75,Character,,1,Lookup,Left,0,,MLSAreaMajor,1,,,,,,0,,0,,,,,
MLSNumber,,"MLS Number",R755,"MLS Number",20,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
NonRepComp,,"Non Rep Comp",R756,"Non Rep Comp",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
NumberofCeilingFans,,"Numberof Ceiling Fans",R757,"Numberof Ceiling Fans",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
NumUnitFloor,,"Num Unit Floor",R2487,"Num Unit Floor",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
OneTimeLandLeaseFee,,"One Time Land Lease Fee",R760,"One Time Land Lease Fee",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
OneTimeMandatoryClubFee,,"One Time Mandatory Club Fee",R761,"One Time Mandatory Club ",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
OneTimeOtheFee,,"One Time Othe Fee",R762,"One Time Othe Fee",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
OneTimeRecLeaseFee,,"One Time Rec Lease Fee",R763,"One Time Rec Lease Fee",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
OneTimeSpecialAssessmentFee,,"One Time Special Assessment Fee",R764,"One Time Special Assessm",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
OpenHouseUpcoming,,"Open House Upcoming",R766,"Open House Upcoming",255,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
OriginalListPrice,,"Original List Price",R768,"Original List Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
OwnershipDesc,,"Ownership Desc",R862,"Ownership Desc",75,Character,,1,Lookup,Left,0,,OwnershipDesc,1,,,,,,0,,0,,,,,
OWNINT,,OWNINT,R4372,OWNINT,75,Character,,1,Lookup,Left,0,,OWNINT,1,,,,,,0,,0,,,,,
ParcelNumber,,"Parcel Number",R770,"Parcel Number",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Parking,,Parking,R863,Parking,1000,Character,,1,LookupMulti,Left,0,,Parking,100,,,,,,0,,0,,,,,
Pets,,Pets,R864,Pets,1000,Character,,1,Lookup,Left,0,,Pets,1,,,,,,0,,0,,,,,
PetsLimitMaxNumber,,"Pets Limit Max Number",R774,"Pets Limit Max Number",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
PetsLimitMaxWeight,,"Pets Limit Max Weight",R775,"Pets Limit Max Weight",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
PetsLimitOther,,"Pets Limit Other",R776,"Pets Limit Other",125,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PhotoCount,,"Photo Count",R777,"Photo Count",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
PhotoModificationTimestamp,,"Photo Modification Timestamp",R778,"Photo Modification Times",23,DateTime,,1,,Left,0,,,,,,,,,0,,0,,,,,
Possession,,Possession,R865,Possession,1000,Character,,1,LookupMulti,Left,0,,Possession,100,,,,,,0,,0,,,,,
PostalCode,,"Postal Code",R779,"Postal Code",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PostalCodePlus4,,"Postal Code Plus 4",R780,"Postal Code Plus 4",4,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PotentialShortSaleYN,,"Potential Short Sale YN",R782,"Potential Short Sale YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
PricePerSqFt,,"Price Per Sq Ft",R786,"Price Per Sq Ft",14,Decimal,2,1,Number,Right,0,,,,,,0,9999999999,,0,,0,,,,,
PrivatePoolDesc,,"Private Pool Desc",R866,"Private Pool Desc",1000,Character,,1,LookupMulti,Left,0,,PrivatePoolDesc,100,,,,,,0,,0,,,,,
PrivatePoolYN,,"Private Pool YN",R787,"Private Pool YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
PrivateSpaDesc,,"Private Spa Desc",R867,"Private Spa Desc",1000,Character,,1,LookupMulti,Left,0,,PrivateSpaDesc,100,,,,,,0,,0,,,,,
PrivateSpaYN,,"Private Spa YN",R788,"Private Spa YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
PropertyAddressonInternetYN,,"Property Addresson Internet YN",R789,"Property Addresson Inter",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
PropertyInformation,,"Property Information",R791,"Property Information",3000,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PropertyType,,"Property Type",R869,"Property Type",75,Character,,1,Lookup,Left,0,,PropertyType,1,,,,,,0,,0,,,,,
Range,,Range,R794,Range,25,Character,,1,,Right,0,,,,,,,,,0,,0,,,,,
RearExposure,,"Rear Exposure",R870,"Rear Exposure",75,Character,,1,Lookup,Left,0,,CardinalPoints,1,,,,,,0,,0,,,,,
Restrictions,,Restrictions,R871,Restrictions,1000,Character,,1,LookupMulti,Left,0,,Restrictions,100,,,,,,0,,0,,,,,
Road,,Road,R872,Road,1000,Character,,1,LookupMulti,Left,0,,Road,100,,,,,,0,,0,,,,,
Roof,,Roof,R873,Roof,1000,Character,,1,LookupMulti,Left,0,,Roof,100,,,,,,0,,0,,,,,
RoomCount,,"Room Count",R800,"Room Count",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
Section,,Section,R801,Section,25,Character,,1,,Right,0,,,,,,,,,0,,0,,,,,
SellerConcessionAmount,,"Seller Concession Amount",R2626,"Seller Concession Amount",20,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingAgent_MUI,,"Selling Agent MUI",R804,"Selling Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
SellingAgentDirectWorkPhone,,"Selling Agent Direct Work Phone",R805,"Selling Agent Direct Wor",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingAgentEmail,,"Selling Agent Email",R806,"Selling Agent Email",80,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingAgentFullName,,"Selling Agent Full Name",R807,"Selling Agent Full Name",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingAgentMLSID,,"Selling Agent MLSID",R808,"Selling Agent MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingOffice_MUI,,"Selling Office MUI",R809,"Selling Office MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
SellingOfficeMLSID,,"Selling Office MLSID",R810,"Selling Office MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingOfficeName,,"Selling Office Name",R811,"Selling Office Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingOfficePhone,,"Selling Office Phone",R812,"Selling Office Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellPricePerSqFt,,"Sell Price Per Sq Ft",R813,"Sell Price Per Sq Ft",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
SettlementAgentAddress,,"Settlement Agent Address",R2627,"Settlement Agent Address",100,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SettlementAgentEmail,,"Settlement Agent Email",R2628,"Settlement Agent Email",80,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SettlementAgentName,,"Settlement Agent Name",R2629,"Settlement Agent Name",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SettlementAgentPhone,,"Settlement Agent Phone",R2660,"Settlement Agent Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Sewer,,Sewer,R875,Sewer,1000,Character,,1,LookupMulti,Left,0,,Sewer,100,,,,,,0,,0,,,,,
SourceofMeasureLivingArea,,"Sourceof Measure Living Area",R2276,"Sourceof Measure Living ",1000,Character,,1,LookupMulti,Left,0,,SourceofMeasureLivingArea,100,,,,,,0,,0,,,,,
SourceofMeasureLotDimensions,,"Sourceof Measure Lot Dimensions",R2277,"Sourceof Measure Lot Dim",1000,Character,,1,LookupMulti,Left,0,,SourceofMeasureLotDimensions,100,,,,,,0,,0,,,,,
SourceofMeasureLotSize,,"Sourceof Measurements",R878,"Sourceof Measurements",1000,Character,,1,LookupMulti,Left,0,,SourceofMeasurements,100,,,,,,0,,0,,,,,
SourceofMeasureTotalArea,,"Sourceof Measure Total Area",R2278,"Sourceof Measure Total A",1000,Character,,1,LookupMulti,Left,0,,SourceofMeasureTotalArea,100,,,,,,0,,0,,,,,
SpecialAssessment,,"Special Assessment",R817,"Special Assessment",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
SpecialAssessmentFeeFreq,,"Special Assessment Fee Freq",R879,"Special Assessment Fee F",75,Character,,1,Lookup,Left,0,,FeeFrequency,1,,,,,,0,,0,,,,,
SpecialInformation,,"Special Information",R881,"Special Information",1000,Character,,1,LookupMulti,Left,0,,SpecialInformation,100,,,,,,0,,0,,,,,
