SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
CoListOffice_MUI,,"Co List Office MUI",R1780,"Co List Office MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
CoListOfficeMLSID,,"Co List Office MLSID",R1781,"Co List Office MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListOfficeName,,"Co List Office Name",R1782,"Co List Office Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListOfficePhone,,"Co List Office Phone",R1783,"Co List Office Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ComercialPropertyType,,"Comercial Property Type",R1784,"Comercial Property Type",1000,Character,,1,LookupMulti,Left,0,,ComercialPropertyType,100,,,,,,0,,0,,,,,
CommercialAmenities,,"Commercial Amenities",R1786,"Commercial Amenities",500,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CommercialType,,"Commercial Type",R1789,"Commercial Type",1000,Character,,1,LookupMulti,Left,0,,CommercialType,100,,,,,,0,,0,,,,,
ConfidentialityAgreementReqdYN,,"Confidentiality Agreement Reqd Y",R1791,"Confidentiality Agreemen",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
Construction,,Construction,R1793,Construction,1000,Character,,1,LookupMulti,Left,0,,Construction,100,,,,,,0,,0,,,,,
Cooling,,Cooling,R1796,Cooling,1000,Character,,1,LookupMulti,Left,0,,Cooling,100,,,,,,0,,0,,,,,
CoolingRemarks,,"Cooling Remarks",R1797,"Cooling Remarks",255,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoolingYN,,"Cooling YN",R2301,"Cooling YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoSellingAgent_MUI,,"Co Selling Agent MUI",R1798,"Co Selling Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
CoSellingAgentFullName,,"Co Selling Agent Full Name",R1801,"Co Selling Agent Full Na",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoSellingAgentMLSID,,"Co Selling Agent MLSID",R1802,"Co Selling Agent MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoSellingOffice_MUI,,"Co Selling Office MUI",R1803,"Co Selling Office MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
CoSellingOfficeMLSID,,"Co Selling Office MLSID",R1804,"Co Selling Office MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoSellingOfficeName,,"Co Selling Office Name",R1805,"Co Selling Office Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoSellingOfficePhone,,"Co Selling Office Phone",R1806,"Co Selling Office Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CountyOrParish,,"County Or Parish",R1807,"County Or Parish",75,Character,,1,Lookup,Left,0,,CountyOrParish,1,,,,,,0,,0,,,,,
CoveredParkingSpaces,,"Covered Parking Spaces",R1808,"Covered Parking Spaces",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
CranesYN,,"Cranes YN",R1809,"Cranes YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
CreatedDate,,"Created Date",R1810,"Created Date",10,Date,,1,,Left,0,,,,,,,,,0,,0,,,,,
CurrentPrice,,"Current Price",R1811,"Current Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
DebtService,,"Debt Service",R1812,"Debt Service",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
Depth,,Depth,R1813,Depth,11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
Development,,Development,R2337,Development,75,Character,,1,Lookup,Left,0,,Development,1,,,,,,0,,0,,,,,
DOM,,DOM,R1820,DOM,11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
DownPayment,,"Down Payment",R1821,"Down Payment",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
DueInNumYrs,,"Due In Num Yrs",R1822,"Due In Num Yrs",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
